K,G,S,CV,NPfix
100.0,0.5,0.01,0.0,1.2781778180820886
100.0,0.5,0.01,0.01,1.283761303147565
100.0,0.5,0.01,0.1,1.4519728959716618
100.0,0.5,0.01,0.5,1.9826372037480442
100.0,0.5,0.01,1.0,1.992978253486255
100.0,0.5,0.1,0.0,0.799192
100.0,0.5,0.1,0.01,0.802108
100.0,0.5,0.1,0.1,0.872056
100.0,0.5,0.1,0.5,1.9744821985931358
100.0,0.5,0.1,1.0,1.9917954201480523
100.0,0.5,0.5,0.0,0.72734
100.0,0.5,0.5,0.01,0.726992
100.0,0.5,0.5,0.1,0.727584
100.0,0.5,0.5,0.5,1.7880129115765389
100.0,0.5,0.5,1.0,1.9836322045914176
100.0,0.5,1.0,0.0,0.708452
100.0,0.5,1.0,0.01,0.70838
100.0,0.5,1.0,0.1,0.71178
100.0,0.5,1.0,0.5,0.8399740796889563
100.0,0.5,1.0,1.0,1.9510026106315166
100.0,0.55,0.0,0.0,1.3634789440351454
100.0,0.55,0.0,0.01,1.3626589013834416
100.0,0.55,0.0,0.1,1.4746703524866245
100.0,0.55,0.0,0.5,1.967547514064163
100.0,0.55,0.0,1.0,1.9856914261700218
100.0,0.55,0.01,0.0,1.2437043428473047
100.0,0.55,0.01,0.01,1.2478203683202171
100.0,0.55,0.01,0.1,1.3982279247158607
100.0,0.55,0.01,0.5,1.9659214344773916
100.0,0.55,0.01,1.0,1.9852370040777068
100.0,0.55,0.1,0.0,0.83674
100.0,0.55,0.1,0.01,0.838532
100.0,0.55,0.1,0.1,0.896452
100.0,0.55,0.1,0.5,1.9526974032211974
100.0,0.55,0.1,1.0,1.9827200814884578
100.0,0.55,0.5,0.0,0.772968
100.0,0.55,0.5,0.01,0.770864
100.0,0.55,0.5,0.1,0.773996
100.0,0.55,0.5,0.5,1.744764975258443
100.0,0.55,0.5,1.0,1.9693244733060438
100.0,0.55,1.0,0.0,0.755552
100.0,0.55,1.0,0.01,0.757116
100.0,0.55,1.0,0.1,0.757272
100.0,0.55,1.0,0.5,0.8746179938879022
100.0,0.55,1.0,1.0,1.932687396213716
100.0,0.6,0.0,0.0,1.3127887701124312
100.0,0.6,0.0,0.01,1.3159775886780727
100.0,0.6,0.0,0.1,1.4199674454731745
